title,total_reviews,recommendation_rate,avg_hours_played,median_hours_played,helpful_votes_total,review_period_days,reviews_per_month,high_engagement_rate,sentiment_score,strong_candidate,predicted_candidate,predicted_proba
ACE COMBAT™ 7: SKIES UNKNOWN,8,1.0,27.375,25.5,2362,5,48.0,0.0,0.023943977318977315,0,0,0.03
ASTRONEER,577,0.8613518197573656,52.500866551126514,28.0,5313,790,21.911392405063292,0.07105719237435008,0.11921825465487715,0,0,0.005
Beat Saber,10,1.0,57.3,26.5,2300,234,1.2820512820512822,0.2,0.04151620844329176,0,0,0.025
Dead by Daylight,1034,0.6305609284332688,246.01984526112184,97.0,200,970,31.97938144329897,0.45357833655706,0.03971004392840338,0,0,0.035
Euro Truck Simulator 2,331,1.0,197.77800604229608,96.0,2168,1621,6.125848241826033,0.4169184290030212,0.17304537117818253,1,1,0.77
Factorio,158,1.0,317.1858227848101,176.5,3451,949,4.9947312961011585,0.6518987341772152,0.11734763125728144,0,0,0.185
Farming Simulator 19,7,0.42857142857142855,245.71428571428572,75.0,748,62,3.3870967741935485,0.2857142857142857,0.012757514601026332,0,0,0.055
Grand Theft Auto V,2174,0.6320147194112236,286.34776448942046,182.0,1100,1405,46.419928825622776,0.6186752529898804,0.09070185118337519,0,0,0.03
Insurgency: Sandstorm,208,0.9423076923076923,45.96634615384615,30.0,0,46,135.65217391304347,0.07211538461538461,0.17838818137311582,0,0,0.17
Left 4 Dead 2,202,0.995049504950495,264.9366336633663,82.5,4913,2950,2.0542372881355933,0.38613861386138615,0.18154710671898724,1,1,0.655
MONSTER HUNTER: WORLD,774,0.6007751937984496,153.6705426356589,107.0,469,191,121.57068062827224,0.4509043927648579,0.05936597651640862,0,0,0.005
Overcooked! 2,10,0.9,29.1,20.0,631,141,2.127659574468085,0.0,0.1282141885891886,0,0,0.025
PLAYERUNKNOWN'S BATTLEGROUNDS,2539,0.6833398975974794,355.5281922016542,234.0,613,692,110.07225433526013,0.69515557306026,0.04408215361850741,0,0,0.17
RESIDENT EVIL 2 / BIOHAZARD RE:2,496,0.9858870967741935,26.850806451612904,21.0,5668,23,646.9565217391304,0.006048387096774193,0.12628059121236468,0,0,0.015
RimWorld,184,1.0,236.13869565217394,130.5,2695,910,6.065934065934066,0.532608695652174,0.14287082659599729,1,1,0.64
Rocket League®,1773,0.6057529610829103,386.66513254371125,165.0,489,1317,40.3872437357631,0.5504794134235759,0.04569386842825146,0,0,0.035
Rust,2291,0.6643387167175906,445.2900916630292,171.0,551,1887,36.42289348171701,0.5643823657791357,0.030638232565446573,0,0,0.095
Slay the Spire,231,0.9913419913419913,147.04329004329006,107.0,2220,409,16.943765281173594,0.44155844155844154,0.149261635793126,0,0,0.27
Stardew Valley,183,1.0,124.64480874316939,91.0,3980,1054,5.2087286527514225,0.3770491803278688,0.14238217509301163,0,0,0.165
Subnautica,204,1.0,92.30392156862744,60.0,4907,1369,4.470416362308254,0.2107843137254902,0.12980715390643052,0,0,0.045
Terraria,239,1.0,425.7643514644351,283.0,2782,2764,2.594066570188133,0.7238493723849372,0.13339025585830405,1,1,0.775
The Elder Scrolls V: Skyrim Special Edition,977,0.638689866939611,97.33948822927327,47.0,6321,828,35.39855072463768,0.2262026612077789,0.17166929734018094,0,0,0.1
"Warhammer 40,000: Mechanicus",7,1.0,22.714285714285715,20.0,429,78,2.6923076923076925,0.0,0.10451151213178281,0,0,0.005
